wav,words
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0040.wav,باہر کے چینلز نے آئی سی یو کے اندر کے حالات بہت پہلے دکھا کر لوگوں کو عقل دلائی تھی
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0041.wav,نصیرالدین شاہ کو کامیاب لوگ پسند نہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0042.wav,آئرلینڈ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0043.wav,موسیقی پسند کرتا ہوں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0044.wav,فشانوں اور سونامی جیسی قدرتی آفات کا مطالعہ کرتا ہی۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0045.wav,ہمیں دوپہر کے کھانےنکے پیسے نقد دینا پڑتے ہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0046.wav,بیٹھا ہے بت آئنہ سیما مرے آگے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0047.wav,منگولیائی
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0048.wav,یا اللّٰہ سبحان اللّٰہ تعالی سب بیماروں کو شفاء عطاء فرمائے آمین ثم آمین
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0049.wav,جوانی کی دہلیز پہ تھے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0050.wav,چیمپئنز ہاکی ٹرافی میں پاکستان نے پہلی فتح حاصل کرلی
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0051.wav,مزید بھی رہ سکتے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0052.wav,لسی سے بھری ہوئی تین بوتلیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0053.wav,موسم سرما میں خشک میوہ جات کی مانگ میں اضافہ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0054.wav,کہ حکومتی ادارے ضروری قانون سازی کے بارے میں بے پروائی کا رویہ اختیار کرتے ہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0055.wav,کہ سوشل میڈیا ایک سمندر کی طرح ہے یہ آپ پر ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0056.wav,یہ اچھا ہی تھا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0057.wav,سلطنت متحدہ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0058.wav,ضرور کی جارہی ہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0059.wav,رافیل نڈال نے گیارہویں مرتبہ بارسلونا اوپن کا ٹائٹل جیت لیا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0060.wav,اسی طرح فطرت بھی اسی تقاضے کو مدنظر رکھتی نظر اتی ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0061.wav,جبری یوں کہ ، پیدا ہوئے اور دادا جی نے کان میں اذان انڈیل دی
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0062.wav,اس کو میڈیکل کالج میں داخلہ مل گیا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0063.wav,اور وہ اتنے پستہ تھے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0064.wav,عدالتی فیصلے بھی عوامی ردعمل سے متاثر ہوتے ہیں؟
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0065.wav,یقین رکھتا ہوں کے انسان فطری طور پر برا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0066.wav,لیکن کیا غضب ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0067.wav,کَیا کھلاڑی نے اچھی کارکردگی پیش کرنا اور وُہ کَیا سے کھلاڑی ہونا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0068.wav,سعودی عرب نے پاکستان کو مزید مشکل میں ڈال دیا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0069.wav,یہ سب لکھ سکتے ہیں؟
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0070.wav,یہاں کا پانی بہت ٹھنڈا تھا ۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0071.wav,ماضی میں چونکہ ریاست کا کوئی آئین نہیں ہوتا تھا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0072.wav,آیوشمان نے فلموں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0073.wav,اس کی سب سے بڑی وجہ اس کی مسلسل کم ہوتی قیمت تھی
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0074.wav,وقت وہ بھی تھا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0075.wav,وہ انسانوں میں چھپی تجلی کو بھی دیکھ سکتی ہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0076.wav,نواز شریف کرکٹ بورڈ میں تباہی کی ذمہ داری قبول کریں عمران خان
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0077.wav,اتنا تو ہم کرنہیں سکتے کہ قومی اسمبلی یا پارلیمان کے مشترکہ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0078.wav,وہ ماحول پاکستان کا ماحول نہیں ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0079.wav,پاکستان بھارت کے عظیم کھلاڑیوں کے ناموں سے سیریز ہونی چاہیے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0080.wav,وہ اس سے کمپنی میں ہر جگہ خرچ کم کرنے کی توقع کرتے ہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0081.wav,جب میں پہلی جگہ یہاں آیا تھا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0082.wav,اور ہم حافظ جی کی طرح پورا قرآن پڑھ گ بغیر سمجھ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0083.wav,میں ان سوالات کی گرفت میں ہوں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0084.wav,یہاں منڈی میں بالآخر کسی قِسم کی فہم ہے وہ کہتی ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0085.wav,دوسری درسگاہوں سے فارغ التحصیل ہیں؟
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0086.wav,وہ قتل بھی کرتے ہیں تو چرچا نہیں ہو تا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0087.wav,دونوں کے مرکزی کردار خادم اعلی ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0088.wav,اورایک نئے دور کا آغاز ہو رہاہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0089.wav,ٹرانزٹ ٹریڈ مینجمنٹ سسٹم پر عمل کر رہے ہیں ہارون اختر
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0090.wav,ہزاروں میل دور سے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0091.wav,آئے تو یوں کہ جیسے ہمیشہ تھے مہرباں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0092.wav,قیام کہاں کرتے ہیں؟
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0093.wav,یہاں کیا گرنا تھا؟
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0094.wav,رکھتا پھروں ہوں خرقہ و سجادہ رہن مے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0095.wav,اس کا حلیہ ہم نے بگاڑ کے رکھ دیا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0096.wav,جہاں جمہوریت نافذ ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0097.wav,تو کرتے کیا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0098.wav,حضرت انس رضی اللہ عنہ سے روایت ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0099.wav,ماہرین کا خیال ہے کہ پھل اور سبزیاں انسانی خوراک کا لازمی جز ہونی چاہئیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0100.wav,جس نے ملکی قیادت پر کئی بار شب خون مارا ہو
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0101.wav,جنوبی کوریا میں حقیقت۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0102.wav,خاموشی سے بیٹھو نہیں تو یہاں سے دفعہ ہو جاؤ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0103.wav,پھر یہ بے چارہ نہ جانے کیا کر گزرے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0104.wav,اس شام کے تیور عجیب تھے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0105.wav,چلو کوئی بات نہیں خانہ پوری ھو جاے گی
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0106.wav,وزیر تعلیم سندھ سعید غنی نےکہا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0107.wav,گویا انھیں قرآنِ مجیدکامفہوم سمجھنے، سنتِ ثابتہ کا مدعا متعین کرنے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0108.wav,اپنی پہچان کرنے کے بعد ہی آپ کو خالق کی پہچان ہوگی۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0109.wav,کتابی خیالات کو سمجھنے میں دشواری محسوس کرتا ہوں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0110.wav,چینی سرمایہ کاروں کو اسٹیل ملز خریدنے کی پیشکش کا فیصلہ تبدیل
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0111.wav,بانڈز کی قیمتیں بلند تھیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0112.wav,اسک ڈائیونگ تو بہر حال ایک خطر کھیل ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0113.wav,آپ نے ملاحظہ کیا ہو گا کہ میں گول مول انداز میں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0114.wav,باقی تاریخ عمرانیات مالیات تھے مضامین جو وہ کبھی نہیں رکھتے تھے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0115.wav,کمی سربراہ حکومت کی صلاحیت کی ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0116.wav,اب ان کی صحت پر بات ہوگی جے آئی ٹی کی رپورٹ
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0117.wav,گندم کے بحران کے ملکی معیشت پر کیا اثرات ہوں گے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0118.wav,گھر پے کوئی نہیں تھا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0119.wav,کراچی تو ایک الگ سلطنت بن چکی تھی۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0120.wav,مگر کہیں انکو صلیب پر ٹنگا ہوا دکھایا گیا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0121.wav,پیپلزپارٹی کے پاس کو ئی متبادل ہے؟
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0122.wav,پانی جیسے ہی نل سے نکلتا تو یوں لگتا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0123.wav,جرمنی اور جاپان نے کیا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0124.wav,اجتک کئئ لوگ یہ بکواس کہتے ھیں کہ عمران خان کی سازش ھے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0125.wav,احتیاطی تدابیراختیار کی جائیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0126.wav,ضرورت اس امر کی ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0127.wav,وہ صرف نظری ابہام پیدا کرتے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0128.wav,اس وقت مگر میرا سوال دوسرا ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0129.wav,ہم پر بزدل اور مال بٹورنے والے مسلط ہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0130.wav,پی سی بی نے قومی کھلاڑیوں کیلئے اپنے خزانے کا منہ کھول دیا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0131.wav,چائے کا جی نہیں چاہ رہا تھا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0132.wav,اسٹریلیا پاکستان کو ڈیری کے شعبے میں معاونت فراہم کرے گا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0133.wav,یہ بھی ضائع کر دیں گے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0134.wav,اگر تو تجربہ کامیاب رہا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0135.wav,اور کوئی متبادل نہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0136.wav,مزاج بدلتا رہتا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0137.wav,بڑے بڑے لیڈروں کے مخالف ہوتے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0138.wav,تجربہ یہ ہے کہ دھرنے صرف حادثات کو جنم دیتے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0139.wav,بام مینا سے ماہتاب اترے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0140.wav,عورت کی فنتاسی یہیں ختم نہیں ہوتی۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0141.wav,سعودی عرب کو تیونس اور یمن کے ساتھ ایک گروپ میں شامل کیا گیا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0142.wav,دوسروں کے ساتھ رابطے سے پرہیز کرتا ہوں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0143.wav,سائنس سے لگاؤ پیدا کرنے میں عمر کی کوئی قید نہیں ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0144.wav,زمان و مکان کی ساری بحثیں لا یعنی۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0145.wav,پہنچ کے در پہ ترے کتنے معتبر ٹھہرے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0146.wav,پیر صاحب نے دوگھر بنا رکھے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0147.wav,طالب علموں کا قیام و طعام اور تحقیق کا خرچ حکومت اٹھاتی ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0148.wav,لیکن وہ بچ نکلنے میں کامیاب ہوئے اور
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0149.wav,یہ فالتو خرچہ ہو گیا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0150.wav,کھانا پکانا تھا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0151.wav,اپنے لیے مشکل ہدف کا انتخاب کرتا ہوں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0152.wav,تو سپریم کورٹ دکھائے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0153.wav,پاکستان میں اسما
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0154.wav,مووی کا مجموعی انداز اچھا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0155.wav,برصغیر کی پرانی روایت یہی رہی ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0156.wav,وہ جو اک عمر سے آیا نہ گیا آخر شب
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0157.wav,لیکن فضول کی تمنائیں اب نہیں رہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0158.wav,سونپا تھا جسے کام نگہبانئ دل کا
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0159.wav,لاہورنمائندہ شوبز بھارتی اداکارہ زينت امان بھارت واپس چلی گئیں
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0160.wav,خون کی شریانوں میں سختی کے باعث ریڑھ کی ہڈی کو متاثر کرتا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0001F0161.wav,کیا بھی فیضؔ تو کس بت سے دوستانہ کیا
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0162.wav,کبھی کبھار ہی خیالی پلاو بناتا ہوں
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0163.wav,اور پھر ممکن ہے کہ پاکستان بھی ہو
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0164.wav,یہ فیصلہ بھی گزشتہ دو سال میں
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0165.wav,ان کے بلے بازوں کے سامنے ہو گا
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0166.wav,آبی جانور میں بطخ بگلا اور دُوسْرا آبی پرندہ شامل ہونا
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0167.wav,اِس طےشدہ مدت میں میرے ذمے پڑھانے کا کام کافی ہلکا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0168.wav,فلمیں دیکھنی ہوں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0169.wav,دوسرا اس وجہ سے کہ اس کی پشت پر ذرائع ابلاغ ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0170.wav,اسکے معانی پر اور مفہوم پر کبھی غورکیا بھی نہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0171.wav,ماتحت عدالتیں کس خوف کا شکار تھیں؟
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0172.wav,پانی کی ایک عجیب خاصیت تھی
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0173.wav,چیئرمین پیس بی کی نیوزی لینڈ کو دورہ پاکستان کی پیشکش
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0174.wav,سمیت پاکستان کے تمام بڑے شہروں کے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0175.wav,جو یَہاں کا جنگلات کےحسن کو چار چاند لگنا دینا ہونا
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0176.wav,فلم اچھا بزنس نہ کرتی ہو۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0177.wav,صرف کام کرو کھانا کھاؤ ٹیکس دو کام ختم اور ہم بھی فارخ
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0178.wav,ٹیلنٹ خاک ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0179.wav,سعودیہ کو جھینگوں کی برامد پاکستان مطلوبہ ٹیسٹ کروانے میں ناکام
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0180.wav,فیفا ورلڈ کپ پیرو نے اسٹریلیا کو شکست دیدی
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0181.wav,کچھ بھِی ممکن ہے نیو گِنی فنڈ کے متعلق کِیا خیال ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0182.wav,اچھی حکومت وہی ہے جو اس کا موقع کم آنے دیتی ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0183.wav,میرا کہنا یہ تھا کہ ٹاک شو میں اصلا دو فریق ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0184.wav,اس وقت فلائنگ کوچ کی سیٹ پر بیٹھے ہوئے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0185.wav,ملک ایک بار پھر دو جماعتی نظام کی طرف لوٹ گیا ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0186.wav,وہ بیساکھیوں کے سہارے چل رہی ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0187.wav,یہ بات اب عیاں ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0188.wav,اب وقت گزر چکا ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0189.wav,نہ اخبار میں بیان چھپواتے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0190.wav,جنہیں دوسرے ٹیسٹ کی شکست نے برہنہ کر کے رکھ دیا ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0191.wav,اس موقع سے وہ کیا فائدہ اٹھاتا ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0192.wav,میں مجبور ہو گیا تھا
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0193.wav,کہ فلم نے ریلیز کے پہلے روز آٹھ کروڑ،
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0194.wav,تو دیکھیے گا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0195.wav,شادی ہوتی ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0196.wav,کہ آخر زمین کا درجہ حرارت بڑھنے کے اس عمل کو
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0197.wav,جو امریکہ کہتاتھا وہی ٹھیک ٹھہرتا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0198.wav,روح کی غذا اللہ کا ذکر ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0199.wav,تو ان چہروں کی وجہ سے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0200.wav,سیاسی جماعتیں بھی دانستہ اس کلچرکو فروغ دیتی ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0201.wav,جلائے جاتے ہیں
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0202.wav,امريکا کی پہلی ڈیجیٹل کلاک کے بانی نے اسے اپنے کارخانے میں بنایا تھا اور اب اس کی فروخت کر دی گئی ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0203.wav,اب سچ وہی ہے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0204.wav,کے بعد تین جرنیل واپس چلے گئے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0205.wav,ویسی ہی ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0206.wav,آسانی سے ناراض نہیں ہوتا
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0207.wav,خراب موسم کی صورتحال کی وجہ سے عالمی پیداوار میں کمی کے بڑھتے ہوئے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0208.wav,ان کی ضرورت کا ادراک مگر کم لوگ ہی کر پاتے ہیں۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0209.wav,پاکستان ہاکی ٹیم اج ہالینڈ سے ٹکرا ئے گی
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0210.wav,بال ٹمپرنگ کیس سٹریلوی سزا یافتہ کھلاڑیوں نےغلطی کا اعتراف کر لیا
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0211.wav,صرف پانچ سوالات جغرافیے کے تھے
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0212.wav,آرمینیا کا موسم گرما کا وقت
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0213.wav,راستے سے پاکستان چلا گیا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0214.wav,اتنی ڈھیر ساری مثبت باتیں سننے کے بعد میں نے اچانک سوال کیا
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0215.wav,آپ کو کوئی ایسی حرکت نہیں کرنی
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0216.wav,مدینہ مگر ایک تکثیری معاشرہ تھا۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0217.wav,جہاں باپ اور بھائیوں کو بھینٹ چڑھا دیا جاتا ہے۔
/content/speechbrain/templates/speech_recognition/data/train/ur0002M0218.wav,ڈیرن سیمی کا نرالا انداز کرتا زیب تن کرلیا
